Area,Youth_in_Non-Family_Households,Youth_in_Single_Parent_Households
408211,1.5611448,34.171726
408212,2.6804123,31.752577
408301,0,31.076506
408302,0,37.954239
408303,0,29.716982
408401,0,16.038563
408402,0,19.306467
408501,0.68104428,34.733257
408503,0,26.718212
408504,0,14.784728
408505,0,14.092664
408623,0,29.101284
408624,0,14.738806
408625,0,29.502369
408626,0,25.439783
408627,0,5.2631578
408628,0.92059839,23.820484
408629,0,9.0476189
408630,0,33.171326
408631,0.73589534,38.757156
408703,0,13.993174
408704,0,51.242828
408705,0,16.718266
408706,0,10.979228
408722,0,32.608696
408723,0,11.94332
408724,3.0553262,41.783649
408800,0,49.747219
430002,1.2203389,21.559322
430003,0,9.4594593
430101,0,59.456837
430102,5.1226549,26.911978
430200,8.8888893,13.333333
430301,1.0416666,6.9444447
430302,0,32.916054
430400,0,15.663801
430501,0,6.4272213
430502,0,12.702473
430600,0,12.864322
430701,2.974359,5.6410255
