Area,College_Graduation_Rate,Less_Than_High_School
269500,74.165138,2.3853211
269601,21.719038,29.990757
269602,40.467896,23.19562
269700,45.983662,16.201498
269800,55.669224,4.9445868
269903,54.209099,4.7861509
269904,50.776546,5.9270997
269905,56.729809,13.31007
269906,67.135323,3.3391917
269907,52.438435,9.0294542
270100,53.258308,10.154409
270200,24.55216,24.762909
270300,35.740841,19.171535
271100,57.977791,3.0976038
271200,51.619049,10.571428
271300,53.926991,4.0652657
271400,59.660141,2.9922423
271500,61.36829,5.2847195
271600,79.763428,3.6125319
271701,62.5,4.6328673
271702,75.807518,2.4060645
271801,55.796833,15.421421
271802,46.878983,8.2165604
271901,53.148937,20.510639
271902,54.69223,7.1981163
272100,59.824619,4.7742772
272201,44.426319,18.379555
272202,40.76527,15.158205
272301,44.972374,20.699816
272302,31.273409,23.158552
